file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\Constants.java,br.com.utfpr.mip.serverless.core.Constants,class,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,6,0,0,0,0,0,4,0,4,0,4,0,0,0,0,16,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,class,2,7,1,20,1,2,2,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,6,53,2,1,1,2,0,17,0,13,2,13,3,0,0,0,40,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\dto\FieldDTO.java,br.com.utfpr.mip.serverless.dto.FieldDTO,class,9,2,1,25,1,2,2,2,0,0,0,0,0,0,8,0,0,8,0,0,0,0,1,24,3,0,0,0,0,0,0,2,0,11,1,0,0,1,37,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\dto\SurveyDTO.java,br.com.utfpr.mip.serverless.dto.SurveyDTO,class,15,1,1,36,0,1,1,1,0,0,0,0,0,0,12,0,0,12,0,0,0,0,1,20,1,0,0,0,0,0,0,1,0,13,0,0,0,0,39,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\Authority.java,br.com.utfpr.mip.serverless.entites.base.Authority,class,11,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,4,0,0,0,0,10,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\City.java,br.com.utfpr.mip.serverless.entites.base.City,class,17,3,1,8,3,3,1,3,0,0,0,0,0,0,7,0,0,7,0,0,0,0,2,22,3,0,0,0,0,7,0,1,0,8,0,0,0,0,29,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\Farmer.java,br.com.utfpr.mip.serverless.entites.base.Farmer,class,7,2,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,1,0,1,0,0,0,0,8,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\Field.java,br.com.utfpr.mip.serverless.entites.base.Field,class,23,24,1,27,78,13,1,11,2,0,0,0,0,0,10,0,0,10,0,0,0,0,4,70,21,0,7,0,0,12,2,3,0,13,1,0,0,0,50,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\MacroRegion.java,br.com.utfpr.mip.serverless.entites.base.MacroRegion,class,14,1,1,2,0,1,1,1,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,14,1,0,0,0,0,5,0,1,0,7,0,0,0,0,23,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\MIPUser.java,br.com.utfpr.mip.serverless.entites.base.MIPUser,class,18,8,1,4,6,4,0,4,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,30,8,0,4,0,0,7,0,1,0,12,1,0,0,0,32,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\Person.java,br.com.utfpr.mip.serverless.entites.base.Person,class,11,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,0,0,0,0,8,0,0,0,0,0,4,0,0,0,6,0,0,0,0,20,1025,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\Region.java,br.com.utfpr.mip.serverless.entites.base.Region,class,19,14,1,16,28,8,1,6,2,0,0,0,0,0,8,0,0,8,0,0,0,0,1,44,11,0,4,0,1,9,0,1,0,9,1,0,0,0,40,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\State.java,br.com.utfpr.mip.serverless.entites.base.State,enum,0,3,1,0,0,3,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,4,0,2,0,1,0,0,0,0,11,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\Supervisor.java,br.com.utfpr.mip.serverless.entites.base.Supervisor,class,12,16,2,15,28,8,1,7,1,0,0,0,0,0,2,0,0,2,0,0,0,0,4,41,16,0,8,0,0,2,0,1,0,3,1,0,0,0,21,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\survey\CropData.java,br.com.utfpr.mip.serverless.entites.survey.CropData,class,7,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\survey\Cultivar.java,br.com.utfpr.mip.serverless.entites.survey.Cultivar,class,14,1,1,2,0,1,1,1,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,14,1,0,0,0,0,4,0,1,0,7,0,0,0,0,23,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\survey\CultivarData.java,br.com.utfpr.mip.serverless.entites.survey.CultivarData,class,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\survey\Harvest.java,br.com.utfpr.mip.serverless.entites.survey.Harvest,class,14,1,1,4,0,1,1,1,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,18,1,0,0,0,0,4,0,1,0,9,0,0,0,0,26,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\survey\LocationData.java,br.com.utfpr.mip.serverless.entites.survey.LocationData,class,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\survey\MIDData.java,br.com.utfpr.mip.serverless.entites.survey.MIDData,class,6,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,1,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\survey\ProductivityData.java,br.com.utfpr.mip.serverless.entites.survey.ProductivityData,class,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,1,0
