file,class,method,variable,usage
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,getSessionFactory/0,sessionFactory,4
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\dto\FieldDTO.java,br.com.utfpr.mip.serverless.dto.FieldDTO,generateEntityFromDTO/1[br.com.utfpr.mip.serverless.dto.FieldDTO],name,1
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\dto\FieldDTO.java,br.com.utfpr.mip.serverless.dto.FieldDTO,generateEntityFromDTO/1[br.com.utfpr.mip.serverless.dto.FieldDTO],location,1
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\dto\FieldDTO.java,br.com.utfpr.mip.serverless.dto.FieldDTO,generateEntityFromDTO/1[br.com.utfpr.mip.serverless.dto.FieldDTO],id,6
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\dto\FieldDTO.java,br.com.utfpr.mip.serverless.dto.FieldDTO,generateEntityFromDTO/1[br.com.utfpr.mip.serverless.dto.FieldDTO],supervisors,1
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\dto\SurveyDTO.java,br.com.utfpr.mip.serverless.dto.SurveyDTO,generateEntityFromDTO/1[br.com.utfpr.mip.serverless.dto.SurveyDTO],id,4
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\City.java,br.com.utfpr.mip.serverless.entites.base.City,"create/3[java.lang.Long,java.lang.String,br.com.utfpr.mip.serverless.entites.base.State]",name,2
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\City.java,br.com.utfpr.mip.serverless.entites.base.City,"create/3[java.lang.Long,java.lang.String,br.com.utfpr.mip.serverless.entites.base.State]",id,2
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\City.java,br.com.utfpr.mip.serverless.entites.base.City,"create/3[java.lang.Long,java.lang.String,br.com.utfpr.mip.serverless.entites.base.State]",state,2
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\entites\base\Field.java,br.com.utfpr.mip.serverless.entites.base.Field,"create/6[java.lang.Long,java.lang.String,java.lang.String,br.com.utfpr.mip.serverless.entites.base.City,br.com.utfpr.mip.serverless.entites.base.Farmer,java.util.Set<br.com.utfpr.mip.serverless.entites.base.Supervisor>]",city,2
