file,class,method,variable,usage
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,"setEnv/1[java.util.Map<java.lang.String,java.lang.String>]",cienv,1
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,"setEnv/1[java.util.Map<java.lang.String,java.lang.String>]",field,2
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,"setEnv/1[java.util.Map<java.lang.String,java.lang.String>]",e,0
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,"setEnv/1[java.util.Map<java.lang.String,java.lang.String>]",newenv,3
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,"setEnv/1[java.util.Map<java.lang.String,java.lang.String>]",obj,1
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,"setEnv/1[java.util.Map<java.lang.String,java.lang.String>]",classes,1
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,"setEnv/1[java.util.Map<java.lang.String,java.lang.String>]",cl,2
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,"setEnv/1[java.util.Map<java.lang.String,java.lang.String>]",env,3
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,"setEnv/1[java.util.Map<java.lang.String,java.lang.String>]",processEnvironmentClass,2
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,"setEnv/1[java.util.Map<java.lang.String,java.lang.String>]",theCaseInsensitiveEnvironmentField,2
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,"setEnv/1[java.util.Map<java.lang.String,java.lang.String>]",map,2
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,"setEnv/1[java.util.Map<java.lang.String,java.lang.String>]",theEnvironmentField,2
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,getSessionFactory/0,configuration,7
D:\Projetos\mip-serverless-tcc\MipFieldServerless\src\main\java\br\com\utfpr\mip\serverless\core\HibernateUtil.java,br.com.utfpr.mip.serverless.core.HibernateUtil,getSessionFactory/0,e,2
