file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\FieldDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.FieldDTO,class,7,3,1,24,1,2,2,2,0,0,0,0,0,0,8,0,0,8,0,0,0,0,1,22,3,0,0,1,0,0,0,0,0,8,1,0,0,0,36,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,class,13,1,1,26,0,1,1,1,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,12,0,0,0,0,38,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\ResponseDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.ResponseDTO,class,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\AuditingPersistenceEntity.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.AuditingPersistenceEntity,class,13,1,1,9,0,1,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,1,11,0,0,0,0,1,1,0,2,0,6,0,0,0,0,26,1025,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,class,12,4,2,10,4,4,1,3,0,0,1,0,0,0,3,0,0,3,0,0,0,0,2,21,3,0,0,0,0,1,0,2,0,4,0,0,0,0,24,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Farmer.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,class,6,2,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,class,18,25,2,29,89,14,1,12,2,0,0,0,0,0,6,0,0,6,0,0,0,0,4,69,21,0,7,0,0,1,4,4,0,9,1,0,0,0,51,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\MacroRegion.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.MacroRegion,class,11,2,2,4,0,2,1,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,13,1,0,0,0,0,1,2,2,0,3,0,0,0,0,25,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Person.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Person,class,9,1,2,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,7,0,0,0,0,0,1,2,1,0,2,0,0,0,0,21,1025,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,class,15,15,2,18,34,9,1,7,2,0,0,0,0,0,4,0,0,4,0,0,0,0,1,43,11,0,4,0,1,1,2,2,0,5,1,0,0,0,41,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\State.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State,enum,0,3,1,0,0,3,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,4,0,2,0,1,0,0,0,0,11,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Supervisor.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor,class,11,16,3,15,28,8,1,7,1,0,0,0,0,0,2,0,0,2,0,0,0,0,4,41,16,0,8,0,0,2,0,1,0,3,1,0,0,0,27,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesLeafInspection.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesLeafInspection,enum,0,3,1,0,0,3,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,5,0,2,0,1,0,0,0,0,39,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesSporeCollector.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesSporeCollector,enum,0,3,1,0,0,3,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,5,0,2,0,1,0,0,0,0,33,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\BladeReadingResponsibleEntity.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsibleEntity,class,8,7,3,7,6,4,1,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,22,7,0,3,0,0,0,0,1,0,2,1,0,0,0,19,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\BladeReadingResponsiblePerson.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsiblePerson,class,8,9,3,8,10,5,1,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,26,9,0,4,0,0,0,0,1,0,2,1,0,0,0,17,1,0
