file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\FieldDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.FieldDTO,generateJSON/1[br.edu.utfpr.cp.emater.midmipsystem.dto.base.FieldDTO],false,54,2,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\FieldDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.FieldDTO,jsonFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field],false,39,2,2,24,9,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,12,9,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,generateFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey],false,45,2,1,26,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\AuditingPersistenceEntity.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.AuditingPersistenceEntity,onPreRemove/0,false,43,2,1,9,5,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,15,4,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,"create/3[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State]",false,41,3,1,3,7,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,7,9,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,getIdAsString/0,false,49,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,toString/0,false,54,0,1,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,setName/1[java.lang.String],false,36,0,1,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Farmer.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,"create/2[java.lang.Long,java.lang.String]",false,21,3,1,2,6,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,6,9,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Farmer.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,Farmer/0,true,16,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
