file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\AuditingPersistenceEntity.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.AuditingPersistenceEntity,onPreRemove/0,false,41,2,1,9,5,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,15,4,1
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,getIdAsString/0,false,46,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,setName/1[java.lang.String],false,33,0,1,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,"create/2[java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State]",false,38,3,1,2,6,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,toString/0,false,51,0,1,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Farmer.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,Farmer/0,true,15,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Farmer.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,"create/2[java.lang.Long,java.lang.String]",false,20,3,1,2,6,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,6,9,0
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,removeSupervisor/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor],false,72,2,2,3,4,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,addSupervisor/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor],false,64,2,2,4,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,getStateName/0,false,105,0,2,3,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0
