file,class,method,variable,usage
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\AuditingPersistenceEntity.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.AuditingPersistenceEntity,onPreRemove/0,currentUser,1
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\AuditingPersistenceEntity.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.AuditingPersistenceEntity,onPreRemove/0,message,1
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,setName/1[java.lang.String],name,2
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,"create/2[java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State]",instance,3
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,"create/2[java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State]",name,1
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,"create/2[java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State]",state,1
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Farmer.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,"create/2[java.lang.Long,java.lang.String]",instance,3
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Farmer.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,"create/2[java.lang.Long,java.lang.String]",name,1
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Farmer.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,"create/2[java.lang.Long,java.lang.String]",id,1
D:\Projetos\mip-serverless-tcc\original\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,removeSupervisor/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor],aSupervisor,1
